Original: 82.0, Binary: 0b1010010, Hex: 0x52
Original: 4309094.0, Binary: 0b10000011100000001100110, Hex: 0x41c066
Original: 3891251.0, Binary: 0b1110110110000000110011, Hex: 0x3b6033
Original: 8627956.0, Binary: 0b100000111010011011110100, Hex: 0x83a6f4
Original: 5884613.0, Binary: 0b10110011100101011000101, Hex: 0x59cac5
Original: 1659318.0, Binary: 0b110010101000110110110, Hex: 0x1951b6
Original: 1834855.0, Binary: 0b110111111111101100111, Hex: 0x1bff67
Original: 3386751.0, Binary: 0b1100111010110101111111, Hex: 0x33ad7f
Original: 3000166.0, Binary: 0b1011011100011101100110, Hex: 0x2dc766
Original: 9135626.0, Binary: 0b100010110110011000001010, Hex: 0x8b660a
Original: 4869260.0, Binary: 0b10010100100110010001100, Hex: 0x4a4c8c
Original: 76550.0, Binary: 0b10010101100000110, Hex: 0x12b06
Original: 432271.0, Binary: 0b1101001100010001111, Hex: 0x6988f
Original: 251028.0, Binary: 0b111101010010010100, Hex: 0x3d494
Original: 7016218.0, Binary: 0b11010110000111100011010, Hex: 0x6b0f1a
Original: 6896099.0, Binary: 0b11010010011100111100011, Hex: 0x6939e3
Original: 8386350.0, Binary: 0b11111111111011100101110, Hex: 0x7ff72e
Original: 8637147.0, Binary: 0b100000111100101011011011, Hex: 0x83cadb
Original: 936705.0, Binary: 0b11100100101100000001, Hex: 0xe4b01
Original: 6602175.0, Binary: 0b11001001011110110111111, Hex: 0x64bdbf
Original: 1429181.0, Binary: 0b101011100111010111101, Hex: 0x15cebd
Original: 8395138.0, Binary: 0b100000000001100110000010, Hex: 0x801982
Original: 6132809.0, Binary: 0b10111011001010001001001, Hex: 0x5d9449
Original: 5936917.0, Binary: 0b10110101001011100010101, Hex: 0x5a9715
Original: 2878578.0, Binary: 0b1010111110110001110010, Hex: 0x2bec72
Original: 158885.0, Binary: 0b100110110010100101, Hex: 0x26ca5
Original: 2441957.0, Binary: 0b1001010100001011100101, Hex: 0x2542e5
Original: 5914794.0, Binary: 0b10110100100000010101010, Hex: 0x5a40aa
Original: 3999272.0, Binary: 0b1111010000011000101000, Hex: 0x3d0628
Original: 3142897.0, Binary: 0b1011111111010011110001, Hex: 0x2ff4f1
Original: 8151159.0, Binary: 0b11111000110000001110111, Hex: 0x7c6077
Original: 5147564.0, Binary: 0b10011101000101110101100, Hex: 0x4e8bac
Original: 4595374.0, Binary: 0b10001100001111010101110, Hex: 0x461eae
Original: 4234951.0, Binary: 0b10000001001111011000111, Hex: 0x409ec7
Original: 7880605.0, Binary: 0b11110000011111110011101, Hex: 0x783f9d
Original: 7009921.0, Binary: 0b11010101111011010000001, Hex: 0x6af681
Original: 695580.0, Binary: 0b10101001110100011100, Hex: 0xa9d1c
Original: 7370443.0, Binary: 0b11100000111011011001011, Hex: 0x7076cb
Original: 7921729.0, Binary: 0b11110001110000001000001, Hex: 0x78e041
Original: 8419625.0, Binary: 0b100000000111100100101001, Hex: 0x807929
Original: 7024080.0, Binary: 0b11010110010110111010000, Hex: 0x6b2dd0
Original: 3905988.0, Binary: 0b1110111001100111000100, Hex: 0x3b99c4
Original: 1767599.0, Binary: 0b110101111100010101111, Hex: 0x1af8af
Original: 935136.0, Binary: 0b11100100010011100000, Hex: 0xe44e0
Original: 635788.0, Binary: 0b10011011001110001100, Hex: 0x9b38c
Original: 8807719.0, Binary: 0b100001100110010100100111, Hex: 0x866527
Original: 317375.0, Binary: 0b1001101011110111111, Hex: 0x4d7bf
Original: 9975410.0, Binary: 0b100110000011011001110010, Hex: 0x983672
Original: 2727968.0, Binary: 0b1010011010000000100000, Hex: 0x29a020
Original: 7444399.0, Binary: 0b11100011001011110101111, Hex: 0x7197af
Original: 4065675.0, Binary: 0b1111100000100110001011, Hex: 0x3e098b
Original: 9925720.0, Binary: 0b100101110111010001011000, Hex: 0x977458
Original: 2293633.0, Binary: 0b1000101111111110000001, Hex: 0x22ff81
Original: 7734826.0, Binary: 0b11101100000011000101010, Hex: 0x76062a
Original: 1065463.0, Binary: 0b100000100000111110111, Hex: 0x1041f7
Original: 1105617.0, Binary: 0b100001101111011010001, Hex: 0x10ded1
Original: 5325800.0, Binary: 0b10100010100001111101000, Hex: 0x5143e8
Original: 3822527.0, Binary: 0b1110100101001110111111, Hex: 0x3a53bf
Original: 5503858.0, Binary: 0b10100111111101101110010, Hex: 0x53fb72
Original: 9214055.0, Binary: 0b100011001001100001100111, Hex: 0x8c9867
Original: 6521769.0, Binary: 0b11000111000001110101001, Hex: 0x6383a9
Original: 7923796.0, Binary: 0b11110001110100001010100, Hex: 0x78e854
Original: 5250236.0, Binary: 0b10100000001110010111100, Hex: 0x501cbc
Original: 1083154.0, Binary: 0b100001000011100010010, Hex: 0x108712
Original: 472141.0, Binary: 0b1110011010001001101, Hex: 0x7344d
Original: 9597454.0, Binary: 0b100100100111001000001110, Hex: 0x92720e
Original: 1581679.0, Binary: 0b110000010001001101111, Hex: 0x18226f
Original: 656751.0, Binary: 0b10100000010101101111, Hex: 0xa056f
Original: 345464.0, Binary: 0b1010100010101111000, Hex: 0x54578
Original: 4281218.0, Binary: 0b10000010101001110000010, Hex: 0x415382
Original: 6558883.0, Binary: 0b11001000001010010100011, Hex: 0x6414a3
Original: 3852986.0, Binary: 0b1110101100101010111010, Hex: 0x3acaba
Original: 6263187.0, Binary: 0b10111111001000110010011, Hex: 0x5f9193
Original: 5828308.0, Binary: 0b10110001110111011010100, Hex: 0x58eed4
Original: 8058535.0, Binary: 0b11110101111011010100111, Hex: 0x7af6a7
Original: 9035191.0, Binary: 0b100010011101110110110111, Hex: 0x89ddb7
Original: 7922103.0, Binary: 0b11110001110000110110111, Hex: 0x78e1b7
Original: 9366003.0, Binary: 0b100011101110100111110011, Hex: 0x8ee9f3
Original: 4555717.0, Binary: 0b10001011000001111000101, Hex: 0x4583c5
Original: 3526753.0, Binary: 0b1101011101000001100001, Hex: 0x35d061
Original: 3176815.0, Binary: 0b1100000111100101101111, Hex: 0x30796f
Original: 858440.0, Binary: 0b11010001100101001000, Hex: 0xd1948
Original: 2250854.0, Binary: 0b1000100101100001100110, Hex: 0x225866
Time Elapsed: 0.00025177001953125 seconds
